Timestamp,LC_SPS,Accel_SPS
2025-06-18 17:04:33,108,44
2025-06-18 17:04:34,107,43
2025-06-18 17:04:35,108,46
2025-06-18 17:04:36,107,45
2025-06-18 17:04:37,107,43
2025-06-18 17:04:38,108,41
2025-06-18 17:04:39,107,44
2025-06-18 17:04:40,108,46
2025-06-18 17:04:41,107,44
2025-06-18 17:04:42,107,46
2025-06-18 17:04:43,108,42
2025-06-18 17:04:44,107,44
2025-06-18 17:04:45,107,42
2025-06-18 17:04:46,108,45
2025-06-18 17:04:47,107,42
2025-06-18 17:04:48,108,43
2025-06-18 17:04:49,107,46
2025-06-18 17:04:50,108,45
2025-06-18 17:04:51,107,41
2025-06-18 17:04:52,107,44
2025-06-18 17:04:53,108,44
2025-06-18 17:04:54,107,42
2025-06-18 17:04:55,107,41
2025-06-18 17:04:56,108,41
2025-06-18 17:04:57,107,45
2025-06-18 17:04:58,108,46
2025-06-18 17:04:59,107,46
2025-06-18 17:05:00,108,45
2025-06-18 17:05:01,107,43
2025-06-18 17:05:02,108,44
2025-06-18 17:05:03,107,41
2025-06-18 17:05:04,108,42
2025-06-18 17:05:05,107,43
2025-06-18 17:05:06,108,43
2025-06-18 17:05:07,107,44
2025-06-18 17:05:08,107,42
2025-06-18 17:05:09,108,46
2025-06-18 17:05:10,107,43
2025-06-18 17:05:11,108,44
2025-06-18 17:05:12,107,45
2025-06-18 17:05:13,108,44
2025-06-18 17:05:14,107,44
2025-06-18 17:05:15,108,45
2025-06-18 17:05:16,107,41
2025-06-18 17:05:17,107,43
2025-06-18 17:05:18,108,44
2025-06-18 17:05:19,107,45
2025-06-18 17:05:20,107,44
2025-06-18 17:05:21,108,46
2025-06-18 17:05:22,107,46
